Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"1198","Santiago Ascenco","Male","Goiânia","Goiás","BR","M40-44","FIN","3:57:53","0:24:42","0:01:21","2:06:52","0:01:56","1:23:01","1","1","1","3500","3","3","2","1","1","1","1","1","1","14273","1482","81","7612","116","4981"
"308","Flávio Da Silva Queiroga Queiroga","Male","Fortaleza ","BR-CE","BR","M30-34","FIN","4:10:00","0:25:03","0:01:12","2:18:06","0:01:16","1:24:24","2","2","1","3500","5","5","2","4","4","2","2","2","1","15000","1503","72","8286","76","5064"
"1031","Romulo Savio Mendonca De Menezes","Male","Brasília","","BR","M25-29","FIN","4:10:19","0:25:10","0:00:56","2:15:16","0:01:45","1:27:12","3","3","1","3500","7","7","1","3","3","1","3","3","1","15019","1510","56","8116","105","5232"
"346","Leno Costa","Male","Fortaleza","Ceará","BR","M35-39","FIN","4:11:03","0:27:04","0:01:37","2:18:26","0:01:30","1:22:25","4","4","1","3500","21","20","2","10","10","2","4","4","1","15063","1624","97","8306","90","4945"
"190","LUCAS ANDRADE CABRAL","Male","Natal","Rio Grande do Norte","BR","M30-34","FIN","4:11:48","0:25:19","0:01:21","2:17:56","0:01:54","1:25:18","5","5","2","3467","8","8","3","6","6","4","5","5","2","15108","1519","81","8276","114","5118"
"618","Rodrigo Lobo","Male","São Bernardo do Campo","São Paulo","BR","M40-44","FIN","4:12:40","0:26:51","0:01:20","2:19:46","0:01:39","1:23:05","6","6","2","3233","19","18","7","14","14","2","6","6","2","15160","1611","80","8386","99","4985"
"268","RODRIGO MALDI PASSINI","Male","ITAPIRA","SP","BR","M30-34","FIN","4:14:57","0:26:49","0:01:31","2:18:56","0:01:37","1:26:03","7","7","3","3410","18","17","8","11","11","5","7","7","3","15297","1609","91","8336","97","5163"
"428","Paulo Puccinelli","Male","SAO PAULO","SP","BR","M35-39","FIN","4:15:10","0:24:43","0:01:29","2:21:22","0:01:26","1:26:09","8","8","2","3425","4","4","1","12","12","3","8","8","2","15310","1483","89","8482","86","5169"
"471","GUILHERME UGIONI","Male","Sinop","MT","BR","M35-39","FIN","4:15:20","0:30:40","0:01:42","2:14:29","0:01:44","1:26:45","9","9","3","3422","115","110","23","9","9","1","9","9","3","15320","1840","102","8069","104","5205"
"980","RAFAEL CAMARA","Male","JACAREI","SP","BR","M25-29","FIN","4:16:41","0:29:00","0:01:29","2:15:52","0:02:01","1:28:19","10","10","2","3385","52","50","4","7","7","2","10","10","2","15401","1740","89","8152","121","5299"
"275","PEDRO FERNANDEZ","Male","FEIRA DE SANTANA","BA","BR","M30-34","FIN","4:17:24","0:28:20","0:02:04","2:18:40","0:01:43","1:26:37","11","11","4","3366","38","36","12","25","25","10","11","11","4","15444","1700","124","8320","103","5197"
"978","Rafael Rizzato","Male","Salvador","BA","BR","M25-29","FIN","4:18:07","0:29:54","0:01:22","2:17:54","0:01:35","1:27:22","12","12","3","3359","86","83","10","26","26","4","12","12","3","15487","1794","82","8274","95","5242"
"309","THIARLY CAVALCANTE BASTOS DE OLIVEIRA","Male","São Bernardo do Campo","SP","BR","M30-34","FIN","4:18:53","0:28:58","0:01:32","2:17:50","0:01:47","1:28:46","13","13","5","3340","49","47","14","16","16","6","13","13","5","15533","1738","92","8270","107","5326"
"754","Xavier Neto","Male","Natal","RN","BR","M40-44","FIN","4:20:04","0:31:28","0:02:24","2:16:47","0:01:45","1:27:40","14","14","3","3100","147","141","34","35","35","7","14","14","3","15604","1888","144","8207","105","5260"
"187","Diogo Andrade Villarinho","Male","Belo Horizonte","MG","BR","M30-34","FIN","4:20:11","0:21:50","0:01:22","2:10:33","0:01:38","1:44:47","15","15","6","3316","1","1","1","2","2","1","15","15","6","15611","1310","82","7833","98","6287"
"666","Rodrigo Lacerda Alves","Male","Aracaju","BR-SE","BR","M40-44","FIN","4:20:25","0:27:53","0:01:34","2:19:30","0:02:06","1:29:21","16","16","4","3094","31","30","11","22","22","5","16","16","4","15625","1673","94","8370","126","5361"
