Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"3","Trevor Foley","Male","Brooksville","FL","US","MPRO","FIN","3:33:36","0:26:15","0:01:53","1:51:09","0:01:22","1:12:56","1","1","1","3500","36","31","25","1","1","1","1","1","1","12816","1575","113","6669","82","4376"
"1","Matt Hanson","Male","Castle Rock","CO","US","MPRO","FIN","3:36:47","0:24:46","0:01:58","1:58:14","0:01:08","1:10:41","2","2","2","3442","11","11","9","5","5","5","2","2","2","13007","1486","118","7094","68","4241"
"8","Sam Appleton","Male","Boulder","CO","AU","MPRO","FIN","3:38:57","0:23:11","0:02:00","1:56:41","0:01:27","1:15:38","3","3","3","3403","4","4","4","2","2","2","3","3","3","13137","1391","120","7001","87","4538"
"9","Nicholas Quenet","Male","DENVER","CO","ZA","MPRO","FIN","3:40:35","0:22:36","0:01:37","1:57:48","0:01:24","1:17:10","4","4","4","3374","3","3","3","3","3","3","4","4","4","13235","1356","97","7068","84","4630"
"7","Colin Szuch","Male","Evergreen","foreigner","US","MPRO","FIN","3:41:34","0:25:53","0:01:49","1:56:42","0:01:16","1:15:54","5","5","5","3356","25","21","16","4","4","4","5","5","5","13294","1553","109","7002","76","4554"
"5","Matthew Sharpe","Male","Boulder","CO","CA","MPRO","FIN","3:42:57","0:23:13","0:01:46","2:00:10","0:01:22","1:16:26","6","6","6","3331","5","5","5","8","8","8","6","6","6","13377","1393","106","7210","82","4586"
"15","Sam Osborne","Male","Rotorua","","NZ","MPRO","FIN","3:43:06","0:24:48","0:01:43","1:58:28","0:01:24","1:16:43","7","7","7","3329","12","12","10","6","6","6","7","7","7","13386","1488","103","7108","84","4603"
"10","Justin Metzler","Male","Boulder","CO","US","MPRO","FIN","3:44:14","0:24:00","0:01:46","1:59:21","0:01:36","1:17:31","8","8","8","3308","7","7","7","7","7","7","8","8","8","13454","1440","106","7161","96","4651"
"18","Marty Andrie","Male","Colorado Springs","CO","US","MPRO","FIN","3:44:53","0:24:45","0:01:55","2:02:19","0:01:28","1:14:25","9","9","9","3296","10","10","8","14","14","14","9","9","9","13493","1485","115","7339","88","4465"
"31","Greg Harper","Male","West Harrison","NY","US","MPRO","FIN","3:45:49","0:22:34","0:01:40","2:01:03","0:01:18","1:19:14","10","10","10","3280","2","2","2","10","10","10","10","10","10","13549","1354","100","7263","78","4754"
"13","Robbie Deckard","Male","Boulder","CO","US","MPRO","FIN","3:46:29","0:25:59","0:01:42","1:59:51","0:01:09","1:17:48","11","11","11","3268","29","25","19","11","11","11","11","11","11","13589","1559","102","7191","69","4668"
"6","Andre Lopes","Male","Longmont","CO","BR","MPRO","FIN","3:46:51","0:25:49","0:01:54","1:59:51","0:01:30","1:17:48","12","12","12","3261","21","17","13","12","12","12","12","12","12","13611","1549","114","7191","90","4668"
"74","Chase Mcqueen","Male","Franklin","IN","US","MPRO","FIN","3:48:08","0:22:32","0:01:42","2:04:58","0:01:28","1:17:28","13","13","13","3238","1","1","1","15","15","15","13","13","13","13688","1352","102","7498","88","4648"
"22","Devin Volk","Male","Bend","OR","US","MPRO","FIN","3:50:17","0:25:55","0:01:47","2:02:51","0:01:18","1:18:26","14","14","14","3199","26","22","17","16","16","16","14","14","14","13817","1555","107","7371","78","4706"
"25","Benjamin Deal","Male","Charlottesville","VA","US","MPRO","FIN","3:50:40","0:26:01","0:02:23","2:02:50","0:01:30","1:17:56","15","15","15","3192","30","26","20","19","19","19","15","15","15","13840","1561","143","7370","90","4676"
"77","Connor Weaver","Male","LEWISVILLE","TX","US","MPRO","FIN","3:50:42","0:25:58","0:01:58","2:08:53","0:01:25","1:12:28","16","16","16","3192","28","24","18","40","39","35","16","16","16","13842","1558","118","7733","85","4348"
"23","Adam Feigh","Male","GRAND JCT","CO","US","MPRO","FIN","3:50:56","0:27:47","0:01:59","1:59:02","0:01:31","1:20:37","17","17","17","3188","60","52","33","13","13","13","17","17","17","13856","1667","119","7142","91","4837"
"71","Josiah Middaugh","Male","Vail","CO","US","MPRO","FIN","3:51:05","0:27:51","0:01:51","2:01:24","0:01:30","1:18:29","18","18","18","3185","62","54","34","17","17","17","18","18","18","13865","1671","111","7284","90","4709"
"21","Nicholas Chase","Male","washington","UT","US","MPRO","FIN","3:54:55","0:26:09","0:01:52","2:03:53","0:01:37","1:21:23","19","19","19","3116","35","30","24","23","23","22","19","19","19","14095","1569","112","7433","97","4883"
"29","Nicholas Scott","Male","Vancouver","BC","CA","MPRO","FIN","3:55:56","0:27:57","0:01:59","2:03:28","0:01:26","1:21:06","20","20","20","3098","66","58","37","26","25","24","20","20","20","14156","1677","119","7408","86","4866"
"50","Tom Robey","Male","Longmont","CO","US","MPRO","FIN","3:56:24","0:25:53","0:02:05","2:08:14","0:01:41","1:18:30","21","21","21","3089","24","20","15","35","34","32","21","21","21","14184","1553","125","7694","101","4710"
"69","Ben Randall","Male","FORT COLLINS","CO","US","MPRO","FIN","3:56:36","0:35:03","0:03:18","2:04:00","0:02:23","1:11:52","22","22","22","3086","346","258","55","66","61","48","22","22","22","14196","2103","198","7440","143","4312"
"37","Todd Suttor","Male","BOULDER","CO","US","MPRO","FIN","3:56:45","0:25:43","0:01:50","2:03:52","0:01:28","1:23:52","23","23","23","3083","18","14","11","22","22","21","23","23","23","14205","1543","110","7432","88","5032"
"24","Robby Webster","Male","Tacoma","WA","US","MPRO","FIN","3:57:13","0:27:40","0:01:55","2:05:40","0:01:35","1:20:23","24","24","24","3074","56","49","30","31","30","29","24","24","24","14233","1660","115","7540","95","4823"
"30","Jose Luis Cordova Perez","Male","Xalapa","MX-VER","MX","MPRO","FIN","3:57:19","0:25:52","0:01:56","2:10:19","0:01:16","1:17:57","25","25","25","3073","22","18","14","49","48","39","25","25","25","14239","1552","116","7819","76","4677"
"56","Alejandro Guzmán Medina","Male","Cajica","CO-CUN","CO","MPRO","FIN","3:57:41","0:28:32","0:01:55","2:03:52","0:01:57","1:21:25","26","26","26","3066","89","77","46","28","27","26","26","26","26","14261","1712","115","7432","117","4885"
"203","James Bilbrey","Male","Colorado Springs","CO","US","M25-29","FIN","3:58:25","0:25:13","0:02:17","2:03:48","0:01:41","1:25:26","27","27","1","3500","13","13","2","20","20","1","27","27","1","14305","1513","137","7428","101","5126"
"44","Kyle Warrick","Male","Millcreek","UT","US","MPRO","FIN","3:58:29","0:28:20","0:02:10","2:05:58","0:01:44","1:20:16","28","28","27","3052","82","71","42","37","36","33","28","28","27","14309","1700","130","7558","104","4816"
"55","Roee Zoarets","Male","EILAT","Southern District","IL","MPRO","FIN","3:58:58","0:25:48","0:01:48","2:06:39","0:02:12","1:22:31","29","29","28","3043","20","16","12","27","26","25","29","29","28","14338","1548","108","7599","132","4951"
"14","Jason Pohl","Male","Red Deer","AB","CA","MPRO","FIN","3:59:10","0:26:15","0:09:39","1:59:57","0:01:41","1:21:38","30","30","29","3039","37","32","26","33","32","31","30","30","29","14350","1575","579","7197","101","4898"
"619","Martín Gallardo","Male","San Rafael","","US","M25-29","FIN","3:59:40","0:31:24","0:03:10","2:06:14","0:03:04","1:15:47","31","31","2","3477","169","135","16","55","54","5","31","31","2","14380","1884","190","7574","184","4547"
"162","Matheus Menezes","Male","Boulder","CO","BR","M18-24","FIN","3:59:47","0:27:32","0:02:10","2:07:26","0:01:40","1:20:59","32","32","1","3500","53","46","2","43","42","1","32","32","1","14387","1652","130","7646","100","4859"
"1697","Fernando Maluf","Male","Sao Paulo","BR-SP","BR","M25-29","FIN","3:59:51","0:28:24","0:01:59","2:06:28","0:01:39","1:21:21","33","33","3","3474","84","73","9","41","40","3","33","33","3","14391","1704","119","7588","99","4881"
"78","Lukas Stahl","Male","Horgau","foreigner","DE","MPRO","FIN","4:00:38","0:26:23","0:02:23","2:02:37","0:01:59","1:27:15","34","34","30","3013","38","33","27","21","21","20","34","34","30","14438","1583","143","7357","119","5235"
"61","Thomas Inigo","Male","LONGMONT","CO","US","MPRO","FIN","4:01:14","0:27:59","0:02:34","2:07:12","0:01:25","1:22:05","35","35","31","3002","68","60","39","48","47","38","35","35","31","14474","1679","154","7632","85","4925"
"1406","Thomas Gordon","Male","Boulder","CO","US","M25-29","FIN","4:01:38","0:24:00","0:02:07","2:10:03","0:02:04","1:23:24","36","36","4","3442","8","8","1","34","33","2","36","36","4","14498","1440","127","7803","124","5004"
"28","Kennett Peterson","Male","Boulder","CO","US","MPRO","FIN","4:01:45","0:27:53","0:02:06","2:01:11","0:01:43","1:28:52","37","37","32","2993","65","57","36","18","18","18","37","37","32","14505","1673","126","7271","103","5332"
"810","Keith Jackson","Male","Fort Collins","CO","US","M30-34","FIN","4:02:07","0:30:41","0:02:16","2:03:39","0:01:55","1:23:36","38","38","1","3500","143","112","19","38","37","1","38","38","1","14527","1841","136","7419","115","5016"
"68","Jacob Deysher","Male","Loveland","CO","US","MPRO","FIN","4:03:09","0:27:58","0:02:05","2:06:35","0:01:36","1:24:55","39","39","33","2968","67","59","38","39","38","34","39","39","33","14589","1678","125","7595","96","5095"
"155","Santiago Paz","Male","Arvada","CO","AR","M25-29","FIN","4:03:57","0:27:23","0:02:16","2:07:18","0:01:43","1:25:18","40","40","5","3400","50","43","7","42","41","4","40","40","5","14637","1643","136","7638","103","5118"
"79","Brad Bischoff","Male","Clayton","NC","US","MPRO","FIN","4:03:58","0:27:52","0:01:59","2:05:17","0:01:25","1:27:25","41","41","34","2953","63","55","35","30","29","28","41","41","34","14638","1672","119","7517","85","5245"
"46","Yu Hsiao","Male","CAMPBELL","CA","TW","MPRO","FIN","4:04:08","0:28:22","0:02:17","2:07:41","0:01:44","1:24:05","42","42","35","2950","83","72","43","50","49","40","42","42","35","14648","1702","137","7661","104","5045"
"42","Yang Pan","Male","chesterfield","MO","US","MPRO","FIN","4:04:22","0:30:45","0:02:40","2:07:03","0:01:49","1:22:05","43","43","36","2946","146","115","50","54","53","43","43","43","36","14662","1845","160","7623","109","4925"
"35","Travis Wood","Male","Boise","ID","US","MPRO","FIN","4:05:22","0:28:28","0:02:09","2:04:41","0:01:44","1:28:20","44","44","37","2928","87","75","44","32","31","30","44","44","37","14722","1708","129","7481","104","5300"
"48","Jacob Burgener","Male","COLORADO SPGS","CO","US","MPRO","FIN","4:05:58","0:26:01","0:01:52","2:05:22","0:01:56","1:30:46","45","45","38","2917","31","27","21","25","24","23","45","45","38","14758","1561","112","7522","116","5446"
"5002","Ellie Salthouse","Female","Carindale","AU-QLD","AU","FPRO","FIN","4:06:12","0:26:09","0:01:52","2:13:00","0:01:39","1:23:32","46","1","1","2500","34","5","5","57","3","3","46","1","1","14772","1569","112","7980","99","5012"
"36","Branden Scheel","Male","Greeley","CO","US","MPRO","FIN","4:06:35","0:30:48","0:01:44","2:08:39","0:01:35","1:23:50","47","46","39","2906","150","117","51","61","56","45","47","46","39","14795","1848","104","7719","95","5030"
"49","Max Kohll","Male","OMAHA","NE","US","MPRO","FIN","4:06:44","0:28:05","0:02:04","2:11:06","0:01:29","1:24:00","48","47","40","2903","73","65","40","62","57","46","48","47","40","14804","1685","124","7866","89","5040"
"5016","Sif Bendix Madsen","Female","København Ø","","DK","FPRO","FIN","4:06:47","0:25:35","0:01:51","2:04:50","0:01:36","1:32:55","49","2","2","2465","17","4","4","24","1","1","49","2","2","14807","1535","111","7490","96","5575"
"501","Thomas Watson","Male","Victoria","BC","CA","M35-39","FIN","4:06:55","0:27:53","0:03:26","2:05:09","0:02:13","1:28:14","50","48","1","3500","64","56","3","36","35","1","50","48","1","14815","1673","206","7509","133","5294"
"70","Erik Mahoney","Male","FORT COLLINS","CO","US","MPRO","FIN","4:07:42","0:27:43","0:01:59","2:07:35","0:02:29","1:27:56","51","49","41","2886","58","50","31","45","44","36","51","49","41","14862","1663","119","7655","149","5276"
"33","Emmett Gross","Male","Drexel Hill","PA","US","MPRO","FIN","4:08:04","0:38:19","0:03:42","2:03:30","0:01:52","1:20:42","52","50","42","2879","585","424","56","75","70","51","52","50","42","14884","2299","222","7410","112","4842"
"259","Ian Hildebrandt","Male","Denver","CO","US","M30-34","FIN","4:08:12","0:28:00","0:02:04","2:09:26","0:01:29","1:27:14","53","51","2","3390","69","61","6","51","50","3","53","51","2","14892","1680","124","7766","89","5234"
"5033","Valerie Barthelemy","Female","Boulder","CO","BE","FPRO","FIN","4:08:22","0:25:33","0:01:51","2:13:36","0:01:29","1:25:54","54","3","3","2370","15","2","2","56","2","2","54","3","3","14902","1533","111","8016","89","5154"
"40","Braxton Bokos","Male","boulder","CO","US","MPRO","FIN","4:08:26","0:23:58","0:01:48","1:59:30","0:01:40","1:41:30","55","52","43","2873","6","6","6","9","9","9","55","52","43","14906","1438","108","7170","100","6090"
"5005","Jodie Stimpson","Female","Langley","West midlands","GB","FPRO","FIN","4:09:51","0:25:32","0:01:54","2:13:38","0:01:31","1:27:16","56","4","4","2281","14","1","1","59","4","4","56","4","4","14991","1532","114","8018","91","5236"
"1853","Logan Thralls","Male","DENVER","CO","US","M18-24","FIN","4:10:03","0:30:03","0:02:39","2:11:17","0:01:43","1:24:21","57","53","2","3315","119","97","4","71","66","2","57","53","2","15003","1803","159","7877","103","5061"
"60","Jake Bamforth","Male","Fort Collins","CO","US","MPRO","FIN","4:11:14","0:26:24","0:01:59","2:09:01","0:01:24","1:32:27","58","54","44","2822","39","34","28","46","45","37","58","54","44","15074","1584","119","7741","84","5547"
"38","Jonathan Fecik","Male","Branford","CT","US","MPRO","FIN","4:11:24","0:27:43","0:02:00","2:05:09","0:02:15","1:34:16","59","55","45","2819","59","51","32","29","28","27","59","55","45","15084","1663","120","7509","135","5656"
"63","Zach Aldrich","Male","Austin","TX","US","MPRO","FIN","4:12:48","0:28:18","0:02:42","2:11:43","0:01:35","1:28:29","60","56","46","2794","79","68","41","67","62","49","60","56","46","15168","1698","162","7903","95","5309"
"1371","Mitchell Child","Male","SLC","UT","US","M25-29","FIN","4:13:22","0:28:57","0:02:36","2:10:23","0:01:30","1:29:56","61","57","6","3230","101","87","11","64","59","6","61","57","6","15202","1737","156","7823","90","5396"
"67","Brian Folts","Male","Englewood","CO","US","MPRO","FIN","4:13:37","0:30:42","0:02:07","2:13:14","0:02:10","1:25:24","62","58","47","2779","144","113","49","77","72","52","62","58","47","15217","1842","127","7994","130","5124"
"5031","Erika Ackerlund","Female","Boulder","CO","US","FPRO","FIN","4:14:57","0:25:34","0:01:44","2:13:48","0:01:18","1:32:33","63","5","5","1975","16","3","3","60","5","5","63","5","5","15297","1534","104","8028","78","5553"
