Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"1513","Mateo Bustos","Male","Tandil","AR-B","AR","M25-29","FIN","3:57:36","0:26:44","0:02:53","2:07:34","0:02:32","1:17:53","1","1","1","3500","9","8","3","1","1","1","1","1","1","14256","1604","173","7654","152","4673"
"754","Pablo Manuel Bien","Male","Bahía Blanca","AR-B","AR","M30-34","FIN","3:58:59","0:29:53","0:03:22","2:06:12","0:02:21","1:17:11","2","2","1","3500","64","60","7","3","3","1","2","2","1","14339","1793","202","7572","141","4631"
"1427","Roberto Cabrera","Male","santiago","Santiago Metropolitan Region","CL","M35-39","FIN","4:01:03","0:26:33","0:03:36","2:07:12","0:02:40","1:21:01","3","3","1","3500","8","7","2","2","2","1","3","3","1","14463","1593","216","7632","160","4861"
"1424","Mario De Elias","Male","buenos aires","Buenos Aires City Region","AR","M40-44","FIN","4:03:16","0:27:35","0:02:43","2:10:23","0:02:32","1:20:03","4","4","1","3500","22","20","3","5","5","1","4","4","1","14596","1655","163","7823","152","4803"
"1487","Agustin Leiro","Male","Buenos Aires ","BUENOS AIRES","AR","M35-39","FIN","4:04:12","0:27:15","0:03:07","2:10:57","0:03:14","1:19:39","5","5","2","3443","16","15","6","6","6","2","5","5","2","14652","1635","187","7857","194","4779"
"191","Pedro Ginocchi","Male","resistencia","Chaco","AR","M30-34","FIN","4:04:24","0:30:33","0:03:31","2:08:40","0:02:53","1:18:47","6","6","2","3402","83","77","9","8","8","3","6","6","2","14664","1833","211","7720","173","4727"
"959","Nathan Ciarlo","Male","São Carlos","São Paulo","BR","M30-34","FIN","4:07:13","0:26:00","0:03:11","2:11:06","0:02:24","1:24:33","7","7","3","3351","5","4","1","4","4","2","7","7","3","14833","1560","191","7866","144","5073"
"996","Sebastian Arrative","Male","Trelew","AR-U","AR","M35-39","FIN","4:10:06","0:28:46","0:03:05","2:16:43","0:02:38","1:18:54","8","8","3","3337","41","39","10","20","20","10","8","8","3","15006","1726","185","8203","158","4734"
"1453","Guillermo Garcia","Male","Bariloche","RIO NEGRO","AR","M35-39","FIN","4:10:20","0:29:45","0:02:52","2:15:56","0:02:34","1:19:13","9","9","4","3332","61","57","14","19","19","9","9","9","4","15020","1785","172","8156","154","4753"
"427","Reinaldo Maeda","Male","Curitiba","Pr","BR","M35-39","FIN","4:11:20","0:26:45","0:03:19","2:14:21","0:02:39","1:24:15","10","10","5","3314","10","9","3","13","13","5","10","10","5","15080","1605","199","8061","159","5055"
