Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"60","Dave Van Reeuwyk","Male","Picture Butte","AB","CA","M35-39","FIN","4:02:53","0:31:56","","2:04:57","","1:22:58","1","1","1","3500","44","31","8","2","2","1","1","1","1","14573","1916","108","7497","74","4978"
"139","Ben Rudson","Male","Calgary","AB","CA","M18-24","FIN","4:03:13","0:27:53","","2:04:16","","1:27:50","2","2","1","3500","7","4","1","1","1","1","2","2","1","14593","1673","133","7456","61","5270"
"861","Scott Cooper","Male","Calgary","AB","CA","M30-34","FIN","4:08:21","0:32:05","","2:05:31","","1:26:52","3","3","1","3500","45","32","3","3","3","1","3","3","1","14901","1925","153","7531","80","5212"
"947","Les Friesen","Male","steinbach","MB","CA","M35-39","FIN","4:10:38","0:33:46","","2:09:12","","1:24:14","4","4","2","3360","77","59","13","7","7","3","4","4","2","15038","2026","130","7752","76","5054"
"873","Calvin Zaryski","Male","Calgary","AB","CA","M50-54","FIN","4:13:31","0:30:10","","2:14:20","","1:25:38","5","5","1","3500","27","21","2","12","12","1","5","5","1","15211","1810","130","8060","73","5138"
"230","Todd Teren","Male","Calgary","AB","US","M30-34","FIN","4:14:06","0:27:30","","2:14:07","","1:28:22","6","6","2","3396","5","3","1","5","5","2","6","6","2","15246","1650","173","8047","74","5302"
"311","Craig Schmitt","Male","Red Deer County","AB","CA","M40-44","FIN","4:15:35","0:37:25","","2:11:18","","1:22:46","7","7","1","3500","220","164","31","37","34","6","7","7","1","15335","2245","158","7878","88","4966"
"30","Igor Lysov","Male","Calgary","AB","RU","M35-39","FIN","4:15:45","0:29:00","","2:14:01","","1:28:43","8","8","3","3268","12","9","2","10","10","6","8","8","3","15345","1740","171","8041","70","5323"
"3","Ian Tucker","Male","Kamloops","BC","CA","M25-29","FIN","4:18:45","0:32:23","","2:06:02","","1:37:25","9","9","1","3500","54","40","4","4","4","1","9","9","1","15525","1943","127","7562","48","5845"
"279","Wyatt Kuntz","Male","Warman","SK","CA","M35-39","FIN","4:19:37","0:32:15","","2:10:17","","1:33:22","10","10","4","3198","50","36","11","6","6","2","10","10","4","15577","1935","155","7817","68","5602"
"127","Koulie Athens-Hunsberger","Male","York","ON","CA","M18-24","FIN","4:20:02","0:29:54","","2:15:30","","1:31:04","11","11","2","3197","24","18","3","16","16","2","11","11","2","15602","1794","156","8130","58","5464"
"272","Tyler Johnston","Male","Sylvan Lake","AB","CA","M35-39","FIN","4:20:47","0:35:24","","2:07:45","","1:34:06","12","12","5","3177","134","101","20","8","8","4","12","12","5","15647","2124","141","7665","71","5646"
"265","Aaron Hains","Male","Beaumont","AB","CA","M35-39","FIN","4:20:58","0:29:09","","2:14:11","","1:33:46","13","13","6","3174","17","14","3","9","9","5","13","13","6","15658","1749","146","8051","86","5626"
"42","Daniel Redelinghuys","Male","Calgary","AB","CA","M40-44","FIN","4:21:22","0:38:42","","2:06:49","","1:31:44","14","14","2","3395","281","203","39","17","17","1","14","14","2","15682","2322","164","7609","83","5504"
"5","Ryan Seguine","Male","Whitefish","MT","US","M35-39","FIN","4:21:36","0:33:52","","2:13:13","","1:29:37","15","15","7","3163","80","61","15","25","24","10","15","15","7","15696","2032","193","7993","101","5377"
"34","Patrick McMahon","Male","Calgary","AB","CA","M35-39","FIN","4:21:43","0:34:08","","2:15:27","","1:28:25","16","16","8","3161","87","68","17","41","38","12","16","16","8","15703","2048","164","8127","59","5305"
"318","Nathan Veldhoen","Male","LANGLEY","BC","CA","M35-39","FIN","4:23:10","0:30:00","","2:13:48","","1:34:36","17","17","9","3134","25","19","4","13","13","7","17","17","9","15790","1800","173","8028","113","5676"
"4","Scott Voyles","Male","Hayden","ID","US","M30-34","FIN","4:23:20","0:36:44","","2:12:49","","1:29:38","18","18","3","3230","187","139","11","43","40","4","18","18","3","15800","2204","184","7969","65","5378"
"170","Jeremy Waddell","Male","Cochrane","AB","CA","M25-29","FIN","4:23:31","0:33:21","","2:14:37","","1:31:41","19","19","2","3414","70","52","6","30","28","4","19","19","2","15811","2001","175","8077","57","5501"
"94","Darin Hunter","Male","Calgary","AB","CA","M45-49","FIN","4:24:54","0:31:43","","2:16:31","","1:33:18","20","20","1","3500","42","29","4","28","27","2","20","20","1","15894","1903","140","8191","62","5598"
"547","Mark Newman","Male","GERMANTOWN","TN","US","M55-59","FIN","4:25:05","0:27:22","","2:16:57","","1:35:58","21","21","1","3500","3","2","1","14","14","2","21","21","1","15905","1642","189","8217","99","5758"
"615","Kat Matthews","Female","Loughborough","LEI","GB","F25-29","FIN","4:25:15","0:29:28","","2:18:18","","1:33:04","22","1","1","3500","20","5","1","29","2","1","22","1","1","15915","1768","175","8298","90","5584"
"278","Cory Krist","Male","Kelowna","BC","CA","M35-39","FIN","4:26:06","0:30:49","","2:16:11","","1:35:43","23","22","10","3082","34","24","6","20","20","9","23","22","10","15966","1849","125","8171","78","5743"
"227","Robert Roth","Male","Calgary","AB","CA","M35-39","FIN","4:26:21","0:30:43","","2:19:22","","1:32:45","24","23","11","3077","31","22","5","42","39","13","24","23","11","15981","1843","146","8362","65","5565"
