Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"1","Andy Potts","Male","COLORADO SPGS","CO","US","MPRO","FIN","3:54:45","0:23:27","","2:11:28","","1:15:56","1","1","1","3500","2","2","2","3","3","3","1","1","1","14085","1407","127","7888","107","4556"
"4","Josh Amberger","Male","Everton Hills","AU-QLD","AU","MPRO","FIN","3:56:49","0:23:25","","2:11:13","","1:18:15","2","2","2","3462","1","1","1","1","1","1","2","2","2","14209","1405","132","7873","104","4695"
"13","Mark Bowstead","Male","","AUK","NZ","MPRO","FIN","3:57:16","0:24:01","","2:10:31","","1:18:28","3","3","3","3454","4","4","4","2","2","2","3","3","3","14236","1441","148","7831","108","4708"
"2","Benjamin Hoffman","Male","TUCSON","","US","MPRO","FIN","4:01:24","0:26:11","","2:14:21","","1:16:55","4","4","4","3380","17","15","7","4","4","4","4","4","4","14484","1571","133","8061","104","4615"
"3","Luke Bell","Male","Sandringham","VIC","AU","MPRO","FIN","4:03:02","0:24:04","","2:16:34","","1:18:22","5","5","5","3350","5","5","5","6","6","6","5","5","5","14582","1444","136","8194","106","4702"
"24","Kennett Peterson","Male","Boulder","CO","US","MPRO","FIN","4:03:17","0:28:04","","2:12:15","","1:18:44","6","6","6","3346","43","37","12","5","5","5","6","6","6","14597","1684","151","7935","103","4724"
"25","Jonathan Shearon","Male","Tucson","AZ","US","MPRO","FIN","4:03:29","0:26:36","","2:13:46","","1:18:42","7","7","7","3342","21","18","9","7","7","7","7","7","7","14609","1596","159","8026","106","4722"
"12","Chris Baird","Male","San Francisco","CA","US","MPRO","FIN","4:05:47","0:28:18","","2:17:10","","1:16:00","8","8","8","3301","52","43","14","9","9","9","8","8","8","14747","1698","143","8230","116","4560"
"15","Derek Garcia","Male","COEUR D ALENE","ID","US","MPRO","FIN","4:09:55","0:26:58","","2:15:11","","1:23:48","9","9","9","3227","24","21","11","8","8","8","9","9","9","14995","1618","131","8111","107","5028"
"11","Robbie Wade","Male","Westminister","CO","IE","MPRO","FIN","4:11:21","0:28:21","","2:17:31","","1:21:24","10","10","10","3201","55","46","16","10","10","10","10","10","10","15081","1701","134","8251","111","4884"
"5","Christian Kemp","Male","Henderson","NV","AU","MPRO","FIN","4:11:37","0:23:58","","2:25:22","","1:18:15","11","11","11","3196","3","3","3","15","15","12","11","11","11","15097","1438","134","8722","108","4695"
"23","Brandon Nied","Male","Reno","NV","US","MPRO","FIN","4:12:28","0:26:34","","2:23:40","","1:18:04","12","12","12","3181","20","17","8","18","18","14","12","12","12","15148","1594","149","8620","101","4684"
"21","Jim Lubinski","Male","CALABASAS","CA","US","MPRO","FIN","4:13:20","0:30:12","","2:21:21","","1:17:22","13","13","13","3165","119","96","19","22","21","15","13","13","13","15200","1812","164","8481","101","4642"
"26","Josh Terwoord","Male","Milwaukee","WI","US","MPRO","FIN","4:13:33","0:30:09","","2:21:52","","1:16:46","14","14","14","3161","116","93","18","23","22","16","14","14","14","15213","1809","173","8512","113","4606"
"27","Shawn Wilyman","Male","REGINA","SK","CA","MPRO","FIN","4:13:54","0:26:09","","2:21:40","","1:21:45","15","15","15","3155","16","14","6","11","11","11","15","15","15","15234","1569","138","8500","122","4905"
"258","Jesse Moore","Male","SACRAMENTO","CA","US","M40-44","FIN","4:16:26","0:31:47","","2:15:37","","1:24:04","16","16","1","3500","190","149","17","12","12","1","16","16","1","15386","1907","195","8137","103","5044"
"241","Fraser Walsh","Male","Chermside","AU-QLD","AU","M18-24","FIN","4:18:27","0:25:30","","2:26:53","","1:20:57","17","17","1","3500","13","11","1","24","23","2","17","17","1","15507","1530","164","8813","143","4857"
"491","Mike Lavery","Male","BOZEMAN","MT","US","M30-34","FIN","4:19:12","0:29:20","","2:22:35","","1:22:23","18","18","1","3500","77","64","9","26","25","2","18","18","1","15552","1760","198","8555","96","4943"
"249","Dave Van Reeuwyk","Male","Picture Butte","AB","CA","M30-34","FIN","4:19:23","0:30:29","","2:20:23","","1:23:44","19","19","2","3496","132","107","14","20","20","1","19","19","2","15563","1829","156","8423","131","5024"
"35","Heather Jackson","Female","Bend","OR","US","FPRO","FIN","4:19:34","0:28:10","","2:23:24","","1:24:01","20","1","1","3500","46","8","5","21","1","1","20","1","1","15574","1690","138","8604","101","5041"
"335","Jack Toland","Male","Kirkland","WA","US","M18-24","FIN","4:19:36","0:27:31","","2:20:44","","1:27:26","21","20","2","3479","30","25","2","13","13","1","21","20","2","15576","1651","146","8444","89","5246"
"16","Dylan Gleeson","Male","Garibaldi Highlands","BC","CA","MPRO","FIN","4:22:41","0:28:09","","2:21:34","","1:28:42","22","21","16","2997","45","38","13","17","17","13","22","21","16","15761","1689","148","8494","108","5322"
"28","Timothy Winslow","Male","BOULDER","CO","US","MPRO","FIN","4:23:20","0:26:56","","2:25:48","","1:26:04","23","22","17","2985","23","20","10","25","24","17","23","22","17","15800","1616","146","8748","126","5164"
"20","Sam Long","Male","Tucson","AZ","US","MPRO","FIN","4:24:59","0:28:20","","2:27:56","","1:24:32","24","23","18","2955","53","44","15","38","37","19","24","23","18","15899","1700","144","8876","107","5072"
"1712","Nick Hetro","Male","Oak Ridge","TN","US","M25-29","FIN","4:25:18","0:29:56","","2:25:16","","1:25:10","25","24","1","3500","104","85","6","34","33","2","25","24","1","15918","1796","172","8716","124","5110"
"490","Owen Kendall","Male","Seattle","WA","US","M30-34","FIN","4:25:26","0:28:54","","2:26:09","","1:25:10","26","25","3","3387","67","57","8","35","34","5","26","25","3","15926","1734","185","8769","128","5110"
"2059","Richard Macdonald","Male","Calgary","AB","CA","M35-39","FIN","4:25:51","0:28:49","","2:27:34","","1:24:48","27","26","1","3500","63","53","8","39","38","3","27","26","1","15951","1729","176","8854","104","5088"
"2355","Matt Smith","Male","Denver","CO","US","M40-44","FIN","4:26:45","0:28:50","","2:26:28","","1:26:45","28","27","2","3314","64","54","3","33","32","2","28","27","2","16005","1730","162","8788","120","5205"
"1773","Keaton Wolansky","Male","Calgary","AB","CA","M25-29","FIN","4:27:29","0:28:11","","2:22:21","","1:31:56","29","28","2","3460","48","40","3","19","19","1","29","28","2","16049","1691","161","8541","140","5516"
"37","Ellie Salthouse","Female","Carindale","AU-QLD","AU","FPRO","FIN","4:27:44","0:26:30","","2:31:10","","1:25:49","30","2","2","3353","19","3","2","40","2","2","30","2","2","16064","1590","148","9070","107","5149"
