Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"460","Jay Smith","Male","Palatine","IL","US","M40-44","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"439","Steve Robbins","Male","Yorktown","VA","US","M40-44","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"430","Christopher Pugh","Male","Chevy Chase","MD","US","M40-44","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"1847","Hilary Cairns","Female","Washington","DC","US","F35-39","FIN","4:54:15","0:30:14","0:02:49","2:39:29","0:02:18","1:39:25","99999","99999","326","","99999","99999","351","99999","99999","529","99999","99999","326","17655","1814","169","9569","138","5965"
"1501","Tim Chesko","Male","Lockport","NY","US","M40-44","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"729","Trevor Paradis","Male","Leesburg","VA","US","M35-39","FIN","5:50:43","0:39:16","0:04:30","3:01:18","0:03:59","2:01:40","99999","99999","1026","","99999","99999","1222","99999","99999","1265","99999","99999","1026","21043","2356","270","10878","239","7300"
"1297","Peter Laura","Male","Harrison","NY","US","M25-29","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"302","Richard Fitzgerald","Male","Highland","MD","US","M40-44","FIN","5:06:10","0:35:32","0:04:00","2:37:21","0:02:55","1:46:22","99999","99999","470","","99999","99999","917","99999","99999","636","99999","99999","470","18370","2132","240","9441","175","6382"
"684","Eric Major","Male","Purcellville","VA","US","M35-39","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"1951","Sharon Burchett","Female","Jasper","GA","US","F45-49","FIN","5:28:56","0:39:40","0:03:36","2:43:13","0:03:03","1:59:24","99999","99999","760","","99999","99999","1251","99999","99999","870","99999","99999","760","19736","2380","216","9793","183","7164"
"1063","Cliff Congo","Male","LEESBURG","VA","US","M30-34","FIN","6:32:51","0:53:01","0:07:19","2:57:18","0:05:38","2:29:35","99999","99999","1339","","99999","99999","1573","99999","99999","1439","99999","99999","1339","23571","3181","439","10638","338","8975"
"924","Jeff Gura","Male","Ponte Vedra","FL","US","M45-49","FIN","5:43:27","0:38:20","0:05:53","3:01:50","0:05:03","1:52:21","99999","99999","948","","99999","99999","1154","99999","99999","1288","99999","99999","948","20607","2300","353","10910","303","6741"
"780","Robert Sloan","Male","Inwood","WV","US","M35-39","FIN","6:34:08","0:43:45","0:06:47","3:22:19","0:03:23","2:17:54","99999","99999","1347","","99999","99999","1424","99999","99999","1575","99999","99999","1347","23648","2625","407","12139","203","8274"
"1613","Mary Lynn Hansen","Female","Woodstock","MD","","F40-44","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"1272","Michael Flanagan 1","Male","","","US","M25-29","FIN","4:14:02","0:22:08","0:02:13","2:14:50","0:01:50","1:33:01","99999","99999","33","","99999","99999","14","99999","99999","74","99999","99999","33","15242","1328","133","8090","110","5581"
"105","Richard Litzel","Male","Newark Valley","NY","US","M65-69","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"769","Carlos Sandoval","Male","Guatemala City","Mexico City","GT","M35-39","FIN","5:38:52","0:42:38","0:04:04","2:41:03","0:03:44","2:07:23","99999","99999","892","","99999","99999","1382","99999","99999","903","99999","99999","892","20332","2558","244","9663","224","7643"
"1357","Nicholas Tripician","Male","Philadelphia","PA","US","M25-29","FIN","4:34:19","0:23:35","0:02:43","2:17:49","0:01:43","1:48:29","99999","99999","132","","99999","99999","32","99999","99999","87","99999","99999","132","16459","1415","163","8269","103","6509"
"1653","Michelle Morrill","Female","Gardiner","NY","US","F40-44","FIN","5:52:47","0:42:58","0:02:59","2:57:45","0:03:19","2:05:46","99999","99999","1048","","99999","99999","1391","99999","99999","1244","99999","99999","1048","21167","2578","179","10665","199","7546"
"730","J Parks","Male","Arnold","MD","US","M35-39","FIN","5:36:35","0:35:19","0:03:31","2:44:34","0:02:34","2:10:37","99999","99999","871","","99999","99999","894","99999","99999","797","99999","99999","871","20195","2119","211","9874","154","7837"
"342","Terry Hunter","Male","Dallas","TX","US","M40-44","FIN","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","99999","99999","99999","","99999","99999","99999","99999","99999","99999","99999","99999","99999","","","","","",""
"570","Terrance Daley","Male","North Royalton","OH","US","M35-39","FIN","5:57:03","0:37:26","0:09:10","3:02:21","0:08:07","1:59:59","99999","99999","1088","","99999","99999","1087","99999","99999","1328","99999","99999","1088","21423","2246","550","10941","487","7199"
"2033","Nancy Toby","Female","Saint Michaels","MD","US","F45-49","FIN","7:08:27","0:48:49","0:07:13","3:24:54","0:03:58","2:43:33","99999","99999","1459","","99999","99999","1533","99999","99999","1605","99999","99999","1459","25707","2929","433","12294","238","9813"
