Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"19","Mauricio Mendez","Male","Mexico City","CMX","MX","MPRO","FIN","3:52:17","0:25:28","","2:11:09","","1:13:17","1","1","1","3500","2","2","2","3","3","3","1","1","1","13937","1528","79","7869","64","4397"
"4","Matt Chrabot","Male","lafayette","CO","US","MPRO","FIN","3:57:03","0:25:35","","2:10:54","","1:18:01","2","2","2","3414","3","3","3","2","2","2","2","2","2","14223","1535","82","7854","71","4681"
"7","Cody Beals","Male","Guelph","ON","CA","MPRO","FIN","4:00:04","0:28:14","","2:10:10","","1:19:24","3","3","3","3359","17","13","10","5","5","5","3","3","3","14404","1694","85","7810","51","4764"
"1","Andy Potts","Male","COLORADO SPGS","CO","US","MPRO","FIN","4:02:04","0:25:27","","2:18:58","","1:15:23","4","4","4","3323","1","1","1","12","12","12","4","4","4","14524","1527","79","8338","57","4523"
"3","Richie Cunningham","Male","Boulder","CO","AU","MPRO","FIN","4:02:45","0:27:22","","2:11:02","","1:22:03","5","5","5","3311","11","11","8","6","6","6","5","5","5","14565","1642","86","7862","52","4923"
"10","Drew Scott","Male","Boulder","CO","US","MPRO","FIN","4:02:51","0:25:36","","2:10:57","","1:23:50","6","6","6","3309","4","4","4","1","1","1","6","6","6","14571","1536","73","7857","75","5030"
"33","Alan Carrillo","Male","Cozumel","Quintana Roo","MX","MPRO","FIN","4:04:19","0:29:07","","2:12:28","","1:19:53","7","7","7","3283","30","22","18","9","9","9","7","7","7","14659","1747","101","7948","70","4793"
"25","Martin Jensen","Male","
Stoevring","","DK","MPRO","FIN","4:05:04","0:25:40","","2:10:54","","1:25:58","8","8","8","3269","5","5","5","4","4","4","8","8","8","14704","1540","86","7854","66","5158"
"18","Justin Metzler","Male","Boulder","CO","US","MPRO","FIN","4:06:10","0:28:51","","2:13:40","","1:21:04","9","9","9","3250","24","18","14","11","11","11","9","9","9","14770","1731","92","8020","63","4864"
"26","james hadley","Male","Longmont","CO","GB","MPRO","FIN","4:06:28","0:25:46","","2:16:39","","1:21:37","10","10","10","3244","7","7","7","10","10","10","10","10","10","14788","1546","85","8199","61","4897"
"27","Rodrigo Gonzalez","Male","Mexico City","MX-CMX","MX","MPRO","FIN","4:08:52","0:25:41","","2:21:28","","1:19:23","11","11","11","3201","6","6","6","14","14","14","11","11","11","14932","1541","82","8488","58","4763"
"6","Paul Ambrose","Male","","NSW","AU","MPRO","FIN","4:11:04","0:28:15","","2:11:02","","1:29:40","12","12","12","3161","18","14","11","8","8","8","12","12","12","15064","1695","80","7862","47","5380"
"22","Alex Libin","Male","Colorado Springs","Colorado","US","MPRO","FIN","4:12:28","0:28:50","","2:21:57","","1:18:58","13","13","13","3136","23","17","13","16","16","16","13","13","13","15148","1730","92","8517","71","4738"
"36","Chris Bagg","Male","PORTLAND","OR","US","MPRO","FIN","4:16:38","0:28:57","","2:15:44","","1:29:17","14","14","14","3061","28","20","16","13","13","13","14","14","14","15398","1737","101","8144","59","5357"
