Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"25","Manuel Kueng","Male","Bütschwil","","CH","MPRO","FIN","3:49:35","0:21:31","","2:08:07","","1:17:01","1","1","1","3500","2","2","2","1","1","1","1","1","1","13775","1291","89","7687","87","4621"
"2","Bas Diederen","Male","Susteren","","NL","MPRO","FIN","3:51:03","0:21:52","","2:12:42","","1:13:44","2","2","2","3473","4","4","4","5","5","5","2","2","2","13863","1312","90","7962","75","4424"
"18","Denis Chevrot","Male","Sorbiers","","FR","MPRO","FIN","3:52:03","0:21:58","","2:12:23","","1:14:33","3","3","3","3455","7","7","7","3","3","3","3","3","3","13923","1318","94","7943","95","4473"
"28","Andreas Raelert","Male","Drage","","DE","MPRO","FIN","3:52:32","0:21:56","","2:13:32","","1:14:23","4","4","4","3446","6","6","6","6","6","6","4","4","4","13952","1316","82","8012","79","4463"
"3","Patrick Lange","Male","Salzburg","","DE","MPRO","FIN","3:53:18","0:21:53","","2:12:37","","1:16:02","5","5","5","3433","5","5","5","4","4","4","5","5","5","13998","1313","86","7957","80","4562"
"30","Yvan Jarrige","Male","Lyon","","FR","MPRO","FIN","3:57:26","0:21:59","","2:13:22","","1:19:25","6","6","6","3358","8","8","8","7","7","7","6","6","6","14246","1319","92","8002","68","4765"
"24","Marcus Herbst","Male","Leipzig","foreigner","DE","MPRO","FIN","3:58:46","0:22:41","","2:11:48","","1:21:17","7","7","7","3334","15","15","11","2","2","2","7","7","7","14326","1361","85","7908","95","4877"
"1003","Paramonov Roman","Male","Moscow","","RU","M30-34","FIN","4:00:32","0:28:32","","2:11:40","","1:16:44","8","8","1","3500","227","208","49","10","10","1","8","8","1","14432","1712","124","7900","92","4604"
"4","David Breuer","Male","Insul","","DE","MPRO","FIN","4:01:03","0:22:40","","2:12:45","","1:22:41","9","9","8","3293","14","14","10","8","8","8","9","9","8","14463","1360","90","7965","87","4961"
"939","Andy Greenleaf","Male","London","APO","GB","M30-34","FIN","4:04:01","0:26:02","","2:20:04","","1:14:52","10","10","2","3437","76","70","4","26","26","3","10","10","2","14641","1562","102","8404","81","4492"
"52","Sebastian Veith","Male","Pirmasens","Intl State","DE","MPRO","FIN","4:04:52","0:21:48","","2:20:09","","1:19:37","11","11","9","3224","3","3","3","13","13","10","11","11","9","14692","1308","100","8409","98","4777"
