Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"2","Jackson Laundry","Male","Guelph","ON","CA","MPRO","FIN","3:39:09","0:24:28","0:02:00","1:55:55","0:01:24","1:15:21","1","1","1","3500","13","13","12","1","1","1","1","1","1","13149","1468","120","6955","84","4521"
"3","Ben Kanute","Male","Loveland","AZ","US","MPRO","FIN","3:41:07","0:23:03","0:01:47","1:58:40","0:01:09","1:16:28","2","2","2","3464","3","3","3","3","3","3","2","2","2","13267","1383","107","7120","69","4588"
"8","Matthew Sharpe","Male","Boulder","CO","CA","MPRO","FIN","3:45:23","0:23:01","0:01:51","2:02:46","0:01:35","1:16:10","3","3","3","3387","2","2","2","6","6","6","3","3","3","13523","1381","111","7366","95","4570"
"5","Justin Riele","Male","Henderson","NV","US","MPRO","FIN","3:46:32","0:23:05","0:01:51","1:58:32","0:01:29","1:21:34","4","4","4","3367","5","5","5","2","2","2","4","4","4","13592","1385","111","7112","89","4894"
"6","Colin Szuch","Male","Evergreen","foreigner","US","MPRO","FIN","3:47:31","0:24:37","0:01:55","2:00:28","0:01:29","1:19:01","5","5","5","3349","16","15","14","4","4","4","5","5","5","13651","1477","115","7228","89","4741"
"11","Hunter Lussi","Male","Gibson Island","MD","US","MPRO","FIN","3:49:43","0:24:17","0:02:06","2:04:31","0:01:49","1:16:59","6","6","6","3309","9","9","8","8","8","8","6","6","6","13783","1457","126","7471","109","4619"
"24","Matthew Ralphs","Male","Johannesburg","foreigner","ZA","MPRO","FIN","3:50:39","0:25:27","0:02:11","2:00:55","0:02:00","1:20:05","7","7","7","3293","19","18","16","7","7","7","7","7","7","13839","1527","131","7255","120","4805"
"16","Danilo Pimentel","Male","Boulder","CO","BR","MPRO","FIN","3:51:52","0:23:06","0:01:52","2:02:40","0:01:41","1:22:33","8","8","8","3271","6","6","6","5","5","5","8","8","8","13912","1386","112","7360","101","4953"
"23","Connor Weaver","Male","LEWISVILLE","TX","US","MPRO","FIN","3:51:58","0:25:22","0:02:07","2:09:24","0:01:25","1:13:40","9","9","9","3269","17","16","15","25","25","25","9","9","9","13918","1522","127","7764","85","4420"
"25","Nicholas Chase","Male","washington","UT","US","MPRO","FIN","3:52:21","0:25:27","0:02:03","2:05:36","0:01:39","1:17:35","10","10","10","3262","20","19","17","12","12","12","10","10","10","13941","1527","123","7536","99","4655"
"14","Andy Krueger","Male","BEND","OR","US","MPRO","FIN","3:53:50","0:24:30","0:01:59","2:06:43","0:01:27","1:19:11","11","11","11","3235","14","14","13","13","13","13","11","11","11","14030","1470","119","7603","87","4751"
"49","Matthew Guenter","Male","Boulder","CO","US","MPRO","FIN","3:53:58","0:23:05","0:01:53","2:07:36","0:01:49","1:19:36","12","12","12","3233","4","4","4","10","10","10","12","12","12","14038","1385","113","7656","109","4776"
"21","Greg Harper","Male","West Harrison","NY","US","MPRO","FIN","3:54:35","0:22:03","0:01:55","2:08:40","0:01:45","1:20:11","13","13","13","3222","1","1","1","11","11","11","13","13","13","14075","1323","115","7720","105","4811"
"18","Patrick Brady","Male","WAUNAKEE","WI","US","MPRO","FIN","3:55:22","0:28:01","0:01:56","2:05:47","0:01:39","1:18:00","14","14","14","3208","80","65","31","16","16","16","14","14","14","14122","1681","116","7547","99","4680"
"40","Connor Callahan","Male","GRAND RAPIDS","MI","US","MPRO","FIN","3:56:03","0:25:49","0:02:01","2:09:00","0:02:00","1:17:13","15","15","15","3195","24","21","18","24","24","24","15","15","15","14163","1549","121","7740","120","4633"
