Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"2001","Bailey Tuddenham","Male","invermay","VIC","AU","M18-24","FIN","4:01:05","0:25:24","0:03:18","2:07:10","0:01:49","1:23:24","1","1","1","3500","3","3","1","1","1","1","1","1","1","14465","1524","198","7630","109","5004"
"2893","Thomas Williams","Male","Wellington","","NZ","M25-29","FIN","4:02:52","0:27:03","0:03:22","2:09:03","0:01:34","1:21:49","2","2","1","3500","8","8","2","2","2","1","2","2","1","14572","1623","202","7743","94","4909"
"2013","Richard Chambers","Male","Auckland","","NZ","M40-44","FIN","4:03:39","0:25:35","0:03:02","2:11:49","0:01:42","1:21:30","3","3","1","3500","4","4","1","4","4","1","3","3","1","14619","1535","182","7909","102","4890"
"2405","Andrej Fuscic","Male","Auckland","","NZ","M18-24","FIN","4:04:56","0:27:09","0:03:19","2:12:33","0:02:35","1:19:20","4","4","2","3430","10","9","4","6","6","2","4","4","2","14696","1629","199","7953","155","4760"
"2862","Robert Huisman","Male","Invercargill","","NZ","M30-34","FIN","4:05:45","0:24:15","0:03:13","2:12:04","0:02:19","1:23:55","5","5","1","3500","1","1","1","3","3","1","5","5","1","14745","1455","193","7924","139","5035"
"2875","Sam Schofield","Male","","AUK","NZ","M18-24","FIN","4:07:42","0:27:00","0:03:21","2:15:22","0:02:02","1:19:58","6","6","3","3380","7","7","3","8","8","3","6","6","3","14862","1620","201","8122","122","4798"
"2876","Karl Poole","Male","Hamilton","North Island","NZ","M35-39","FIN","4:11:44","0:25:00","0:03:45","2:11:50","0:03:54","1:27:16","7","7","1","3500","2","2","1","5","5","1","7","7","1","15104","1500","225","7910","234","5236"
"2011","Bastian Luthmann","Male","Lippetal","NW","DE","M18-24","FIN","4:15:29","0:33:06","0:03:19","2:15:44","0:01:37","1:21:44","8","8","4","3240","108","83","21","10","10","5","8","8","4","15329","1986","199","8144","97","4904"
"2003","Tyler Jerram","Male","Auckland","AUCKLAND","NZ","M25-29","FIN","4:16:03","0:28:30","0:03:11","2:12:48","0:02:33","1:29:01","9","9","2","3262","19","15","4","7","7","2","9","9","2","15363","1710","191","7968","153","5341"
"2428","William Morton","Male","Auckland","","NZ","M18-24","FIN","4:17:22","0:26:55","0:03:07","2:17:57","0:02:32","1:26:52","10","10","5","3206","6","6","2","9","9","4","10","10","5","15442","1615","187","8277","152","5212"
"2010","Ollie Brazier","Male","Taupo","","NZ","M30-34","FIN","4:18:42","0:29:50","0:03:04","2:25:18","0:02:15","1:18:15","11","11","2","3266","35","30","7","15","15","3","11","11","2","15522","1790","184","8718","135","4695"
