Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"1509","Kade layton","Male","BIG LAKE","Minnesota","US","M18-24","FIN","4:04:30","0:31:09","0:02:38","2:10:40","0:01:46","1:18:16","1","1","1","3500","41","32","8","2","2","1","1","1","1","14670","1869","158","7840","106","4696"
"134","Chad Bykerk","Male","Beverly Hills","US-CA","US","M30-34","FIN","4:08:58","0:25:44","0:02:40","2:14:47","0:02:15","1:23:32","2","2","1","3500","1","1","1","1","1","1","2","2","1","14938","1544","160","8087","135","5012"
"1440","Kevin Denny","Male","Lake Lotawana","US-MO","US","M35-39","FIN","4:12:20","0:28:00","0:02:15","2:17:24","0:02:03","1:22:37","3","3","1","3500","8","7","2","4","4","2","3","3","1","15140","1680","135","8244","123","4957"
"136","John Matson","Male","Elkhorn","NEBRASKA","US","M35-39","FIN","4:14:30","0:27:14","0:02:41","2:17:00","0:01:51","1:25:45","4","4","2","3461","4","3","1","3","3","1","4","4","2","15270","1634","161","8220","111","5145"
"1360","Micah Warning","Male","Rochester","MN","US","M30-34","FIN","4:17:11","0:28:00","0:04:17","2:17:11","0:01:47","1:25:56","5","5","2","3352","7","6","3","5","5","2","5","5","2","15431","1680","257","8231","107","5156"
"153","Mike Anderson","Male","Kansas City","US-MO","US","M30-34","FIN","4:23:30","0:28:13","0:04:50","2:26:25","0:03:56","1:20:07","6","6","3","3238","10","8","4","15","15","4","6","6","3","15810","1693","290","8785","236","4807"
"105","Guglielmo Schiavoni","Male","TRABUCO CANYON","US-CA","IT","M35-39","FIN","4:24:31","0:29:41","0:02:32","2:24:09","0:01:51","1:26:18","7","7","3","3280","22","15","3","7","7","3","7","7","3","15871","1781","152","8649","111","5178"
"129","Tevin Neegaard","Male","Osseo","MN","US","M25-29","FIN","4:26:14","0:29:25","0:02:48","2:18:37","0:03:20","1:32:04","8","8","1","3500","19","13","3","6","6","1","8","8","1","15974","1765","168","8317","200","5524"
"1282","Connor Heavican","Male","Gretna","NE","US","M18-24","FIN","4:26:16","0:33:45","0:03:01","2:22:10","0:02:44","1:24:35","9","9","2","3108","101","77","18","14","14","3","9","9","2","15976","2025","181","8530","164","5075"
"133","Eric Prilipp","Male","Dubuque","IA","US","M40-44","FIN","4:27:28","0:33:19","0:02:51","2:21:00","0:02:35","1:27:44","10","10","1","3500","92","69","9","8","8","1","10","10","1","16048","1999","171","8460","155","5264"
"127","Samuel Kohll","Male","Denver","CO","US","M30-34","FIN","4:28:56","0:34:38","0:03:33","2:22:32","0:02:24","1:25:47","11","11","4","3140","132","100","13","17","17","5","11","11","4","16136","2078","213","8552","144","5147"
"1334","Adam Gray","Male","Cedar Rapids","IOWA","US","M18-24","FIN","4:30:03","0:28:18","0:02:58","2:28:17","0:02:35","1:27:55","12","12","3","3040","13","9","3","16","16","4","12","12","3","16203","1698","178","8897","155","5275"
"499","Gabriel Malaquias-Todarelli","Male","Chicago","IL","BR","M35-39","FIN","4:31:22","0:30:39","0:03:10","2:23:43","0:01:55","1:31:55","13","13","4","3157","31","23","4","9","9","4","13","13","4","16282","1839","190","8623","115","5515"
"878","Abraham Schroeder","Male","Yankton","South Dakota","US","M18-24","FIN","4:31:48","0:30:08","0:04:11","2:24:28","0:02:54","1:30:07","14","14","4","3008","29","22","6","13","13","2","14","14","4","16308","1808","251","8668","174","5407"
"120","Christian Balmer","Male","LEES SUMMIT","MO","US","M30-34","FIN","4:32:23","0:30:46","0:03:33","2:27:24","0:02:06","1:28:34","15","15","5","3078","34","26","5","18","18","6","15","15","5","16343","1846","213","8844","126","5314"
"396","David Christy","Male","ALISO VIEJO","US-CA","US","M25-29","FIN","4:34:12","0:31:54","0:03:17","2:22:34","0:02:10","1:34:16","16","16","2","3356","53","43","9","10","10","2","16","16","2","16452","1914","197","8554","130","5656"
"1095","Thomas Woods","Male","LINCOLN","NE","US","M55-59","FIN","4:37:00","0:34:28","0:03:00","2:29:41","0:02:26","1:27:24","17","17","1","3500","125","97","6","28","28","1","17","17","1","16620","2068","180","8981","146","5244"
"1425","Dan Arlandson","Male","Lakeville","MN","US","M50-54","FIN","4:40:27","0:32:23","0:03:19","2:22:14","0:04:14","1:38:17","18","18","1","3500","64","49","3","11","11","1","18","18","1","16827","1943","199","8534","254","5897"
"113","Jessie Dowding","Male","Green Bay","WI","US","M35-39","FIN","4:42:12","0:32:35","0:03:22","2:33:38","0:03:31","1:29:06","19","19","5","2962","74","57","8","33","32","8","19","19","5","16932","1955","202","9218","211","5346"
"114","Taylor Ames","Male","San Jose","CA","US","M40-44","FIN","4:44:12","0:32:12","0:02:44","2:32:48","0:02:53","1:33:35","20","20","2","3198","57","46","3","29","29","4","20","20","2","17052","1932","164","9168","173","5615"
"921","Eric Moser","Male","OMAHA","NE","US","M30-34","FIN","4:44:31","0:31:36","0:03:09","2:23:14","0:01:51","1:44:40","21","21","6","2860","50","40","7","12","12","3","21","21","6","17071","1896","189","8594","111","6280"
"837","Christopher Rountree","Male","Irving","US-TX","US","M50-54","FIN","4:44:47","0:34:19","0:03:37","2:25:32","0:02:27","1:38:52","22","22","2","3422","119","92","6","19","19","2","22","22","2","17087","2059","217","8732","147","5932"
"92","Joel Espinosa","Male","Panama","Panama","PA","M35-39","FIN","4:44:59","0:35:26","0:02:51","2:26:05","0:02:05","1:38:31","23","23","6","2912","162","123","14","21","21","5","23","23","6","17099","2126","171","8765","125","5911"
"125","Brian Willing","Male","Sun Prairie","US-WI","US","M40-44","FIN","4:45:16","0:32:40","0:03:02","2:29:14","0:02:51","1:37:29","24","24","3","3179","77","60","8","25","25","3","24","24","3","17116","1960","182","8954","171","5849"
"90","Marcelo Costa","Male","Bentonville","ARKANSAS","BR","M45-49","FIN","4:46:08","0:34:15","0:03:04","2:26:17","0:04:26","1:38:06","25","25","1","3500","115","89","11","20","20","1","25","25","1","17168","2055","184","8777","266","5886"
"1497","Riley Brown","Male","Chesterfield","MO","US","M30-34","FIN","4:46:30","0:27:19","0:03:28","2:33:56","0:04:11","1:37:36","26","26","7","2824","5","4","2","22","22","7","26","26","7","17190","1639","208","9236","251","5856"
"765","Benjamin Del Vecchio","Male","SPRINGFIELD","Missouri","US","M18-24","FIN","4:51:07","0:33:15","0:03:29","2:33:21","0:01:50","1:39:12","27","27","5","2660","90","67","16","35","34","5","27","27","5","17467","1995","209","9201","110","5952"
"108","Soren Heilskov","Male","SHEFFIELD","US-IA","US","M45-49","FIN","4:53:11","0:30:00","0:04:00","2:31:44","0:02:22","1:45:05","28","28","2","3373","26","19","2","26","26","2","28","28","2","17591","1800","240","9104","142","6305"
"117","Phillip Thompson","Male","De Soto","KS","US","M40-44","FIN","4:54:12","0:39:30","0:03:15","2:30:39","0:02:44","1:38:04","29","29","4","3018","400","298","34","41","40","6","29","29","4","17652","2370","195","9039","164","5884"
"948","Vinny Pallini","Male","Westminster","CO","US","M25-29","FIN","4:54:48","0:41:45","0:04:04","2:26:35","0:02:50","1:39:34","30","30","3","2985","587","437","60","39","38","5","30","30","3","17688","2505","244","8795","170","5974"
"1180","Rupert Price","Male","Chicago","IL","GB","M35-39","FIN","4:55:06","0:36:19","0:03:32","2:28:25","0:02:28","1:44:22","31","31","7","2730","199","152","18","30","30","6","31","31","7","17706","2179","212","8905","148","6262"
"918","Marshall Jordan","Male","THE WOODLANDS","US-TX","US","M40-44","FIN","4:56:04","0:34:04","0:02:43","2:27:57","0:04:54","1:46:26","32","32","5","2985","109","84","10","23","23","2","32","32","5","17764","2044","163","8877","294","6386"
"89","Kristina Koepke","Female","SAN FRANCISCO","US-CA","DE","F35-39","FIN","4:56:05","0:32:12","0:03:01","2:34:01","0:02:01","1:44:49","33","1","1","3500","59","13","3","32","1","1","33","1","1","17765","1932","181","9241","121","6289"
"1514","Christian Sande","Male","Marion","IA","US","M35-39","FIN","4:56:18","0:33:59","0:03:55","2:31:00","0:02:40","1:44:44","34","33","8","2708","107","82","10","31","31","7","34","33","8","17778","2039","235","9060","160","6284"
"1493","Zach Dolen","Male","WAKEFIELD","NE","US","M40-44","FIN","4:56:37","0:35:29","0:04:36","2:39:06","0:02:49","1:34:37","35","34","6","2975","164","125","15","70","66","12","35","34","6","17797","2129","276","9546","169","5677"
"186","Luke Aldrich","Male","CEDAR FALLS","IA","US","M45-49","FIN","4:57:01","0:34:03","0:03:05","2:38:22","0:02:08","1:39:23","36","35","3","3304","108","83","8","48","47","3","36","35","3","17821","2043","185","9502","128","5963"
"1471","Malachi Lehman","Male","Minneapolis","MN","US","M25-29","FIN","4:57:10","0:28:51","0:02:36","2:35:11","0:02:41","1:47:50","37","36","4","2943","16","12","2","27","27","3","37","36","4","17830","1731","156","9311","161","6470"
"126","Sal Fernandez","Male","Edmond","US-OK","US","M18-24","FIN","4:57:20","0:38:15","0:03:36","2:35:04","0:03:18","1:37:07","38","37","6","2549","309","230","35","59","55","8","38","37","6","17840","2295","216","9304","198","5827"
"1526","Austin Davis","Male","SAINT LOUIS","MO","US","M35-39","FIN","4:58:15","0:34:45","0:03:34","2:35:18","0:02:58","1:41:40","39","38","9","2673","135","102","11","43","42","10","39","38","9","17895","2085","214","9318","178","6100"
"1305","Kenton Johnston","Male","Urbandale","IA","US","M30-34","FIN","4:58:20","0:35:11","0:03:48","2:39:12","0:03:01","1:37:07","40","39","8","2611","147","111","16","66","62","9","40","39","8","17900","2111","228","9552","181","5827"
"611","Andrea Nunez-Smith","Female","Austin","TX","US","F30-34","FIN","4:59:18","0:28:55","0:02:16","2:49:28","0:02:15","1:36:23","41","2","1","3500","17","5","1","80","6","1","41","2","1","17958","1735","136","10168","135","5783"
"53","John Zebrack","Male","Reno","US-NV","US","M55-59","FIN","4:59:22","0:32:01","0:03:47","2:37:59","0:03:17","1:42:18","42","40","2","3097","56","45","2","44","43","2","42","40","2","17962","1921","227","9479","197","6138"
"1165","Olivier Salois","Male","Guttenberg","NJ","CA","M40-44","FIN","4:59:30","0:32:23","0:02:38","2:35:29","0:03:17","1:45:43","43","41","7","2923","63","48","5","37","36","5","43","41","7","17970","1943","158","9329","197","6343"
"224","Kyle Hotchkin","Male","NORFOLK","NE","US","M40-44","FIN","4:59:34","0:34:51","0:03:43","2:42:05","0:02:10","1:36:44","44","42","8","2922","138","105","12","81","75","14","44","42","8","17974","2091","223","9725","130","5804"
"1438","Asher Brown","Male","Wichita","KS","US","M18-24","FIN","5:00:42","0:30:01","0:03:08","2:43:26","0:02:59","1:41:08","45","43","7","2488","27","20","5","54","51","7","45","43","7","18042","1801","188","9806","179","6068"
"1333","Max McGavran","Male","Lenexa","Kansas","US","M18-24","FIN","5:01:14","0:34:17","0:04:10","2:44:34","0:03:04","1:35:09","46","44","8","2478","117","91","19","92","82","12","46","44","8","18074","2057","250","9874","184","5709"
"1140","Nicole Mohajer","Female","Newport Coast","CA","US","F35-39","FIN","5:01:38","0:33:12","0:03:05","2:39:23","0:02:25","1:43:32","47","3","2","3400","88","23","5","50","3","3","47","3","2","18098","1992","185","9563","145","6212"
"98","Luke Friesen","Male","Lenexa","KS","US","M30-34","FIN","5:02:38","0:38:16","0:04:30","2:22:10","0:03:58","1:53:44","48","45","9","2534","310","231","30","24","24","8","48","45","9","18158","2296","270","8530","238","6824"
"521","Joe Vokins","Male","Cordova","TENNESSEE","CA","M18-24","FIN","5:02:59","0:31:03","0:03:51","2:48:36","0:02:22","1:37:08","49","46","9","2447","39","31","7","96","85","14","49","46","9","18179","1863","231","10116","142","5828"
"659","Doug Wilson","Male","SAINT LOUIS","MO","US","M45-49","FIN","5:03:01","0:34:07","0:03:47","2:38:16","0:02:29","1:44:22","50","47","4","3196","110","85","9","52","49","4","50","47","4","18181","2047","227","9496","149","6262"
"648","Mark Jaschke","Male","GREENWOOD VLG","CO","US","M25-29","FIN","5:03:08","0:38:15","0:03:13","2:37:12","0:02:13","1:42:15","51","48","5","2835","308","229","36","69","65","7","51","48","5","18188","2295","193","9432","133","6135"
