Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"1","Timothy O'Donnell","Male","boulder","CO","US","MPRO","FIN","3:51:32","0:23:42","0:02:38","2:06:56","0:00:59","1:17:17","1","1","1","3500","1","1","1","2","2","2","1","1","1","13892","1422","158","7616","59","4637"
"9","Leon Griffin","Male","Longmont","CO","AU","MPRO","FIN","3:53:08","0:25:45","0:02:47","2:06:17","0:01:02","1:17:17","2","2","2","3471","17","12","10","3","3","3","2","2","2","13988","1545","167","7577","62","4637"
"15","Axel Zeebroek","Male","Samrée","Other","BE","MPRO","FIN","3:54:56","0:23:53","0:02:59","2:05:50","0:01:02","1:21:12","3","3","3","3438","3","3","3","1","1","1","3","3","3","14096","1433","179","7550","62","4872"
"6","Michael Lovato","Male","Boulder","","US","MPRO","FIN","3:57:54","0:25:43","0:02:56","2:09:18","0:01:08","1:18:49","4","4","4","3385","15","11","9","6","6","6","4","4","4","14274","1543","176","7758","68","4729"
"5","OSCAR GALINDEZ","Male","ALMAFUERTE","Córdoba","BR","MPRO","FIN","3:58:46","0:26:40","0:03:03","2:08:08","0:01:20","1:19:35","5","5","5","3369","27","21","14","5","5","5","5","5","5","14326","1600","183","7688","80","4775"
"7","Maxim Kriat","Male","Virginia Water","England","US","MPRO","FIN","4:00:01","0:25:50","0:02:39","2:09:28","0:00:57","1:21:07","6","6","6","3347","20","14","12","7","7","7","6","6","6","14401","1550","159","7768","57","4867"
"3","Paul Amey","Male","","","US","MPRO","FIN","4:03:42","0:24:47","0:03:04","2:10:14","0:01:00","1:24:37","7","7","7","3281","8","8","6","9","9","9","7","7","7","14622","1487","184","7814","60","5077"
"20","Andrés Felipe Castillo Latorre","Male","CAJICA","Cundinamarca","CO","MPRO","FIN","4:04:01","0:24:59","0:02:57","2:10:04","0:01:08","1:24:53","8","8","8","3275","11","10","8","8","8","8","8","8","8","14641","1499","177","7804","68","5093"
"14","Jonathan Shearon","Male","Tucson","AZ","US","MPRO","FIN","4:06:23","0:27:23","0:03:19","2:09:30","0:01:11","1:25:00","9","9","9","3232","30","23","15","12","12","12","9","9","9","14783","1643","199","7770","71","5100"
"16","Bertrand Billard","Male","SALMAGNE","","FR","MPRO","FIN","4:06:53","0:24:48","0:03:03","2:09:08","0:01:50","1:28:04","10","10","10","3223","9","9","7","4","4","4","10","10","10","14813","1488","183","7748","110","5284"
