Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"5","Colin Szuch","Male","Evergreen","foreigner","US","MPRO","FIN","3:41:37","0:27:30","0:03:56","1:55:50","0:02:27","1:11:54","1","1","1","3500","22","19","8","5","5","5","1","1","1","13297","1650","236","6950","147","4314"
"16","Martin Demuth","Male","Holflein","foreigner","AT","MPRO","FIN","3:42:35","0:22:44","0:03:34","1:58:45","0:02:53","1:14:38","2","2","2","3482","1","1","1","4","4","4","2","2","2","13355","1364","214","7125","173","4478"
"7","Federico Scarabino","Male","Montevideo","UY-MO","UY","MPRO","FIN","3:43:54","0:23:28","0:03:35","1:57:56","0:02:15","1:16:40","3","3","3","3458","4","4","4","2","2","2","3","3","3","13434","1408","215","7076","135","4600"
"1","Luciano Taccone","Male","BUENOS AIRES","AR-C","AR","MPRO","FIN","3:44:46","0:24:26","0:04:09","1:56:23","0:02:22","1:17:26","4","4","4","3443","6","6","6","1","1","1","4","4","4","13486","1466","249","6983","142","4646"
"2","Rodrigo Gonzalez","Male","Mexico City","MX-CMX","MX","MPRO","FIN","3:54:17","0:23:29","0:03:35","2:10:30","0:02:22","1:14:21","5","5","5","3272","5","5","5","8","8","8","5","5","5","14057","1409","215","7830","142","4461"
"6","Vicente Trewhela","Male","santiago","CL-RM","CL","MPRO","FIN","3:55:19","0:22:45","0:03:34","2:04:54","0:02:46","1:21:20","6","6","6","3253","2","2","2","6","6","6","6","6","6","14119","1365","214","7494","166","4880"
"8","Martin Ulloa","Male","Santiago","CL-RM","CL","MPRO","FIN","3:57:33","0:23:27","0:03:35","1:57:58","0:02:18","1:30:16","7","7","7","3213","3","3","3","3","3","3","7","7","7","14253","1407","215","7078","138","5416"
"12","Ted Treise","Male","Minnetonka","MN","CL","MPRO","FIN","3:57:45","0:29:25","0:03:55","2:04:09","0:02:15","1:18:01","8","8","8","3209","50","46","9","7","7","7","8","8","8","14265","1765","235","7449","135","4681"
"1969","Francisco Catalan","Male","santiago","Santiago Metropolitan Region","CL","M25-29","FIN","4:06:08","0:26:05","0:04:51","2:10:48","0:03:23","1:21:01","9","9","1","3500","13","12","2","10","10","1","9","9","1","14768","1565","291","7848","203","4861"
"9","Danilo Melo","Male","Maringa ","BR-PR","BR","MPRO","FIN","4:08:31","0:35:08","0:04:42","2:07:49","0:02:51","1:18:02","10","10","9","3015","381","344","11","18","18","10","10","10","9","14911","2108","282","7669","171","4682"
"10","Nicolas Saez","Male","Santiago","CL-RM","CL","MPRO","FIN","4:09:57","0:24:27","0:04:12","2:10:38","0:03:10","1:27:30","11","11","10","2990","7","7","7","9","9","9","11","11","10","14997","1467","252","7838","190","5250"
"211","Santiago Paz","Male","Arvada","CO","AR","M25-29","FIN","4:11:42","0:27:22","0:05:10","2:10:14","0:02:56","1:26:01","12","12","2","3399","19","16","4","11","11","2","12","12","2","15102","1642","310","7814","176","5161"
"1873","Marcelo Tobar Gavilan","Male","La Reina","CL-RM","CL","M30-34","FIN","4:12:24","0:27:25","0:05:43","2:11:53","0:03:27","1:23:56","13","13","1","3500","20","17","4","14","14","2","13","13","1","15144","1645","343","7913","207","5036"
