Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"281","Soren Jensen","Male","TUCSON","US-AZ","US","M25-29","FIN","4:06:11","0:28:49","0:01:47","2:12:01","0:01:40","1:21:53","1","1","1","3500","31","26","3","1","1","1","1","1","1","14771","1729","107","7921","100","4913"
"109","George Hoffmann","Male","PLAYA DEL REY","CA","US","M35-39","FIN","4:08:22","0:28:23","0:01:45","2:16:56","0:01:28","1:19:50","2","2","1","3500","24","19","4","2","2","1","2","2","1","14902","1703","105","8216","88","4790"
"111","Luke Creger","Male","Carlsbad","US-CA","US","M25-29","FIN","4:11:51","0:30:27","0:02:16","2:19:14","0:01:18","1:18:36","3","3","2","3398","61","50","8","4","4","2","3","3","2","15111","1827","136","8354","78","4716"
"178","Ryan Seaman","Male","Nanaimo","CA-BC","CA","M18-24","FIN","4:16:18","0:28:26","0:02:13","2:21:34","0:01:46","1:22:19","4","4","1","3500","27","22","5","5","5","2","4","4","1","15378","1706","133","8494","106","4939"
"141","Chris Cartwright","Male","Vancouver","BC","CA","M30-34","FIN","4:18:30","0:28:27","0:01:42","2:22:25","0:01:42","1:24:13","5","5","1","3500","29","24","8","6","6","1","5","5","1","15510","1707","102","8545","102","5053"
"69","Klemens Anderson","Male","San Francisco","CA","US","M25-29","FIN","4:18:33","0:32:15","0:02:29","2:22:09","0:01:44","1:19:56","6","6","3","3277","132","105","15","11","11","4","6","6","3","15513","1935","149","8529","104","4796"
"415","Forrest Simpson","Male","Victoria","British Columbia","CA","M30-34","FIN","4:18:47","0:27:39","0:02:54","2:28:16","0:01:43","1:18:15","7","7","2","3494","15","13","3","13","13","4","7","7","2","15527","1659","174","8896","103","4695"
"63","Alexandre Guay","Male","Chambly","CA-QC","CA","M30-34","FIN","4:21:10","0:29:29","0:02:10","2:23:24","0:01:40","1:24:27","8","8","3","3452","42","33","9","8","8","2","8","8","3","15670","1769","130","8604","100","5067"
"161","Zane Moore","Male","Portland","OR","US","M18-24","FIN","4:22:52","0:28:11","0:01:57","2:19:50","0:01:37","1:31:18","9","9","2","3381","22","17","3","3","3","1","9","9","2","15772","1691","117","8390","97","5478"
"143","Josh Seifarth","Male","Vancouver","CA-BC","CA","M35-39","FIN","4:26:12","0:25:53","0:01:50","2:28:04","0:02:49","1:27:35","10","10","2","3179","2","2","1","9","9","2","10","10","2","15972","1553","110","8884","169","5255"
"142","Brad Robison","Male","San Francisco","CA","US","M25-29","FIN","4:28:21","0:26:21","0:02:07","2:25:15","0:01:43","1:32:54","11","11","4","3101","5","4","2","7","7","3","11","11","4","16101","1581","127","8715","103","5574"
"105","Élie Harnois","Male","Saint-Thomas","CA-QC","CA","M18-24","FIN","4:30:11","0:29:58","0:02:31","2:33:00","0:01:28","1:23:12","12","12","3","3250","51","41","8","26","25","4","12","12","3","16211","1798","151","9180","88","4992"
"170","Alexandre Levesque","Male","North Vancouver","BC","CA","M35-39","FIN","4:31:06","0:32:05","0:02:58","2:27:32","0:02:37","1:25:53","13","13","3","3090","123","98","20","18","18","4","13","13","3","16266","1925","178","8852","157","5153"
"1271","Cameron Wolfe","Male","Redmond","WA","US","M25-29","FIN","4:32:55","0:29:02","0:02:49","2:31:11","0:01:58","1:27:55","14","14","5","3018","36","29","4","21","21","5","14","14","5","16375","1742","169","9071","118","5275"
"1457","Jacob Wolf","Male","Milwaukie","OR","US","M18-24","FIN","4:33:52","0:28:12","0:02:03","2:28:38","0:02:07","1:32:52","15","15","4","3183","23","18","4","14","14","3","15","15","4","16432","1692","123","8918","127","5572"
"634","Ethan Hockett","Male","Spokane Valley","Washington","US","M25-29","FIN","4:35:30","0:34:52","0:03:08","2:30:13","0:01:18","1:25:58","16","16","6","2972","247","186","31","37","36","8","16","16","6","16530","2092","188","9013","78","5158"
"1235","Justin Kerr","Male","Vancouver","BC","CA","M45-49","FIN","4:37:18","0:36:59","0:03:36","2:29:50","0:02:19","1:24:34","17","17","1","3500","366","275","29","46","45","7","17","17","1","16638","2219","216","8990","139","5074"
"97","Michael Marshall","Male","Toronto","CA-ON","CA","M30-34","FIN","4:37:27","0:28:26","0:02:31","2:26:47","0:02:01","1:37:42","18","18","4","3158","26","21","6","12","12","3","18","18","4","16647","1706","151","8807","121","5862"
"66","Vincent Felix Bartscher","Male","Schwerte","foreigner","DE","M30-34","FIN","4:37:31","0:28:25","0:04:11","2:30:06","0:02:18","1:32:31","19","19","5","3157","25","20","5","19","19","6","19","19","5","16651","1705","251","9006","138","5551"
"365","Kharim Schliewinsky","Male","Halifax","NS","CA","M55-59","FIN","4:38:35","0:30:06","0:01:45","2:35:03","0:01:57","1:29:44","20","20","1","3500","55","44","2","31","30","1","20","20","1","16715","1806","105","9303","117","5384"
"61","Ben Goldman","Male","Monte Sereno","CA","US","M45-49","FIN","4:38:36","0:31:51","0:01:47","2:32:51","0:01:40","1:30:27","21","21","2","3476","110","89","6","28","27","3","21","21","2","16716","1911","107","9171","100","5427"
"172","Mitch Crisanti","Male","North Vancouver","BC","CA","M30-34","FIN","4:38:46","0:31:42","0:02:37","2:31:52","0:02:00","1:30:36","22","22","6","3135","98","78","17","27","26","8","22","22","6","16726","1902","157","9112","120","5436"
"1528","Nicholas Ridenour","Male","Vancouver","BC","CA","M30-34","FIN","4:39:25","0:36:39","0:02:10","2:23:29","0:02:40","1:34:26","23","23","7","3123","340","255","46","17","17","5","23","23","7","16765","2199","130","8609","160","5666"
"559","Paul Spooner","Male","Toronto","Ontario","CA","M30-34","FIN","4:39:26","0:27:04","0:02:26","2:34:01","0:02:48","1:33:07","24","24","8","3123","12","10","2","22","22","7","24","24","8","16766","1624","146","9241","168","5587"
"500","Nick Cosman","Male","Kingston","CA-ON","CA","M45-49","FIN","4:39:27","0:26:34","0:02:17","2:31:01","0:02:22","1:37:14","25","25","3","3461","7","6","1","15","15","1","25","25","3","16767","1594","137","9061","142","5834"
